level,questionBody ,questionOptions ,,,,questionSoln ,questionExplanation 
,12 x 6 = ?,18,36,72,126,72,"12 x 6 is the same as 12 groups of 6 or 6 groups of 12. So 12 x 6 = 12 + 12 + 12 + 12 + 12 + 12 = 72. Therefore, 12 x 6 = 72."
7,22 ÷ 11 = ?,11,2,33,3,2,"22 ÷ 11 is the same as finding how many groups of 11 are in 22. Since 22 can be split into 2 groups of 11, 22 ÷ 11 = 2."
,39 ÷ 3 = ?,13,12,31,21,13,"39 ÷ 3 is the same as finding how many groups of 3 are in 39. Since 39 can be split into 13 groups of 3, 39 ÷ 3 = 13."
,84 ÷ 4 = ?,40,80,41,21,21,"84 ÷ 4 is the same as finding how many groups of 4 are in 84. Since 84 can be split into 21 groups of 4, 84 ÷ 4 = 21."
8,32 x 10 = ?,230,203,320,302,320,
,54 x 5 = ?,254,270,45,27,270,
,43 x 15 = ?,68,685,658,645,645,
9,245 ÷ 5 = ?,49,41,40,45,49,
,945 ÷ 9 = ?,15,115,105,150,105,
,286 ÷ 11 = ?,18,26,28,16,26,
10,23 x 11 = ?,253,2323,23,34,253,
,24 x 7 = ? ,188,168,178,158,168,
,48 ÷ 12 = ? ,36,60,4,3,4,
,45 ÷ 9 = ?,54,44,5,4,5,
,84 ÷ 7 = ?,10,11,12,13,12,
11,,,,,,,
,,,,,,,
,,,,,,,
12,,,,,,,
,,,,,,,
,,,,,,,
13,,,,,,,
,,,,,,,
,,,,,,,
14,,,,,,,
,,,,,,,
,,,,,,,
15,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
16,,,,,,,
,,,,,,,
,,,,,,,
17,,,,,,,
,,,,,,,
,,,,,,,
18,,,,,,,
,,,,,,,
,,,,,,,
19,,,,,,,
,,,,,,,
,,,,,,,
20,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21,,,,,,,
,,,,,,,
,,,,,,,
22,,,,,,,
,,,,,,,
,,,,,,,
23,,,,,,,
,,,,,,,
,,,,,,,
24,,,,,,,
,,,,,,,
,,,,,,,
25,,,,,,,
